workspace,bucket,field_path,source_value
mba,crm_leadSourceExpr_aggregate,,default_source
mba,crm_leadSourceExpr_aggregate,,Telephony
mba,crm_leadSourceExpr_aggregate,,organic
mba,crm_leadSourceExpr_aggregate,,Agents
mba,crm_leadSourceExpr_aggregate,,Organic
mba,crm_leadSourceExpr_aggregate,,agents
mba,crm_leadSourceExpr_aggregate,,website
mba,crm_leadSourceExpr_aggregate,,Blog
mba,crm_leadSourceExpr_aggregate,,partner150
mba,crm_leadSourceExpr_aggregate,,partner30
mba,crm_leadSourceExpr_aggregate,,Incoming call
mba,crm_leadSourceExpr_aggregate,,Web
mba,crm_leadSourceExpr_aggregate,,partner240
mba,crm_leadSourceExpr_aggregate,,partner89
mba,crm_leadSourceExpr_aggregate,,partner82
mba,crm_leadSourceExpr_aggregate,,partner121
mba,crm_leadSourceExpr_aggregate,,whatsapp
mba,crm_leadSourceExpr_aggregate,,bing
mba,crm_leadSourceExpr_aggregate,,partner37
mba,crm_leadSourceExpr_aggregate,,Walk In
mba,crm_leadSourceExpr_aggregate,,partner230
mba,crm_leadSourceExpr_aggregate,,careers360
mba,crm_leadSourceExpr_aggregate,,partner167
mba,crm_leadSourceExpr_aggregate,,Google
mba,crm_leadSourceExpr_aggregate,,flyer
mba,crm_leadSourceExpr_aggregate,,partner74
mba,crm_leadSourceExpr_aggregate,,partner51
mba,crm_leadSourceExpr_aggregate,,Website
mba,crm_leadSourceExpr_aggregate,,BTL
mba,crm_leadSourceExpr_aggregate,,partner54
mba,crm_leadSourceExpr_aggregate,,partner96
mba,crm_leadSourceExpr_aggregate,,perplexity
mba,crm_leadSourceExpr_aggregate,,partner225
mba,crm_leadSourceExpr_aggregate,,Inbound Call
mba,crm_leadSourceExpr_aggregate,,Twigz
mba,crm_leadSourceExpr_aggregate,,whatsappleadnurturing_medium=imba_1
mba,crm_leadSourceExpr_aggregate,,partner100
mba,crm_leadSourceExpr_aggregate,,Incoming Calls
mba,crm_leadSourceExpr_aggregate,,blog
mba,crm_leadSourceExpr_aggregate,,Walk-in
mba,crm_leadSourceExpr_aggregate,,BTL Activity IHM Oshiwara
mba,crm_leadSourceExpr_aggregate,,partner34
mba,crm_leadSourceExpr_aggregate,,Chat
mba,crm_leadSourceExpr_aggregate,,visitingCard
mba,crm_leadSourceExpr_aggregate,,collegedunia
mba,crm_leadSourceExpr_aggregate,,partner66
mba,crm_leadSourceExpr_aggregate,,twigznetwork
mba,crm_leadSourceExpr_aggregate,,partner164
mba,crm_leadSourceExpr_aggregate,,Database
mba,crm_leadSourceExpr_aggregate,,college_direct
mba,crm_leadSourceExpr_aggregate,,partner33
mba,crm_leadSourceExpr_aggregate,,Direct Walk-in
mba,crm_leadSourceExpr_aggregate,,partner241
mba,crm_leadSourceExpr_aggregate,,Shiksha
mba,crm_leadSourceExpr_aggregate,,social
mba,crm_leadSourceExpr_aggregate,,shiksha
mba,crm_leadSourceExpr_aggregate,,partner186
mba,crm_leadSourceExpr_aggregate,,direct
mba,crm_leadSourceExpr_aggregate,,referral
mba,crm_leadSourceExpr_aggregate,,facebook
mba,crm_leadSourceExpr_aggregate,,partner10
mba,crm_leadSourceExpr_aggregate,,BTL Activity IHM Nerul
mba,crm_leadSourceExpr_aggregate,,partner223
mba,crm_leadSourceExpr_aggregate,,Widget
mba,crm_leadSourceExpr_aggregate,,letsupgrade
mba,crm_leadSourceExpr_aggregate,,Offline
mba,crm_leadSourceExpr_aggregate,,btl
mba,crm_leadSourceExpr_aggregate,,Calendly
mba,crm_leadSourceExpr_aggregate,,Facebook
mba,crm_leadSourceExpr_aggregate,,chat
mba,crm_leadSourceExpr_aggregate,,google
mba,crm_leadSourceExpr_aggregate,,partner166
mba,crm_leadSourceExpr_aggregate,,remarketing
mba,crm_leadSourceExpr_aggregate,,database
mba,crm_leadSourceExpr_aggregate,,btl rom
mba,crm_leadSourceExpr_aggregate,,chatgpt.com
mba,crm_leadSourceExpr_aggregate,,btl activity ihm oshiwara
mba,crm_leadSourceExpr_aggregate,,BTL ROM
mba,crm_leadSourceExpr_aggregate,,partner4
mba,crm_leadSourceExpr_aggregate,,Referral
mba,crm_leadSourceExpr_aggregate,,websitepyq
mba,crm_leadSourceExpr_aggregate,,Online
mba,crm_leadSourceExpr_aggregate,,Walkin
mba,crm_leadSourceExpr_aggregate,,partner78
mba,crm_leadSourceExpr_aggregate,,gdn
mba,crm_leadSourceExpr_aggregate,,partner2
mba,crm_leadSourceExpr_aggregate,,partner196
mba,crm_leadSourceExpr_aggregate,,btl activity ihm nerul
mba,crm_leadSourceExpr_aggregate,,partner140
mba,crm_leadSourceExpr_aggregate,,other
mba,crm_leadSourceExpr_aggregate,,API
mba,crm_leadSourceExpr_aggregate,,Outbound Call
mba,crm_leadSourceExpr_aggregate,,chatgpt.com?utm_source=web
mba,crm_leadSourceExpr_aggregate,,wa
mba,crm_leadSourceExpr_aggregate,,partner137
mba,crm_leadSourceExpr_aggregate,,Inhouse Social Media
mba,crm_leadSourceExpr_aggregate,,kollegeapply
mba,crm_leadSourceExpr_aggregate,,test
mba,crm_leadSourceExpr_aggregate,,web
mba,crm_leadSourceExpr_aggregate,,partner12
mba,crm_leadSourceExpr_aggregate,,Bing
mba,crm_leadSourceExpr_aggregate,,lead nurturing
mba,crm_distinct_field,source.channel,API
mba,crm_distinct_field,source.channel,Agents
mba,crm_distinct_field,source.channel,BTL
mba,crm_distinct_field,source.channel,BTL Activity IHM Nerul
mba,crm_distinct_field,source.channel,BTL Activity IHM Oshiwara
mba,crm_distinct_field,source.channel,BTL ROM
mba,crm_distinct_field,source.channel,Bing
mba,crm_distinct_field,source.channel,Blog
mba,crm_distinct_field,source.channel,Calendly
mba,crm_distinct_field,source.channel,Chat
mba,crm_distinct_field,source.channel,Database
mba,crm_distinct_field,source.channel,Direct Walk-in
mba,crm_distinct_field,source.channel,Facebook
mba,crm_distinct_field,source.channel,Google
mba,crm_distinct_field,source.channel,Inbound Call
mba,crm_distinct_field,source.channel,Incoming Calls
mba,crm_distinct_field,source.channel,Incoming call
mba,crm_distinct_field,source.channel,Inhouse Social Media
mba,crm_distinct_field,source.channel,Offline
mba,crm_distinct_field,source.channel,Online
mba,crm_distinct_field,source.channel,Organic
mba,crm_distinct_field,source.channel,Outbound Call
mba,crm_distinct_field,source.channel,Referral
mba,crm_distinct_field,source.channel,Shiksha
mba,crm_distinct_field,source.channel,Telephony
mba,crm_distinct_field,source.channel,Twigz
mba,crm_distinct_field,source.channel,Walk In
mba,crm_distinct_field,source.channel,Walk-in
mba,crm_distinct_field,source.channel,Walkin
mba,crm_distinct_field,source.channel,Web
mba,crm_distinct_field,source.channel,Website
mba,crm_distinct_field,source.channel,Widget
mba,crm_distinct_field,source.channel,agents
mba,crm_distinct_field,source.channel,bing
mba,crm_distinct_field,source.channel,blog
mba,crm_distinct_field,source.channel,btl
mba,crm_distinct_field,source.channel,btl activity ihm nerul
mba,crm_distinct_field,source.channel,btl activity ihm oshiwara
mba,crm_distinct_field,source.channel,btl rom
mba,crm_distinct_field,source.channel,careers360
mba,crm_distinct_field,source.channel,chat
mba,crm_distinct_field,source.channel,chatgpt.com
mba,crm_distinct_field,source.channel,chatgpt.com?utm_source=web
mba,crm_distinct_field,source.channel,college_direct
