workspace,sort_order,source
mba,1,Adwords
mba,2,agents
mba,3,Agents
mba,4,API
mba,5,bing
mba,6,Bing
mba,7,blog
mba,8,Blog
mba,9,Blogs
mba,10,btl
mba,11,Btl
mba,12,BTL
mba,13,btl activity ihm nerul
mba,14,BTL Activity IHM Nerul
mba,15,btl activity ihm oshiwara
mba,16,BTL Activity IHM Oshiwara
mba,17,BTL MM
mba,18,btl rom
mba,19,BTL ROM
mba,20,btlmm
mba,21,Calendly
mba,22,careers360
mba,23,Careers360
mba,24,chat
mba,25,Chat
mba,26,Chatgpt
mba,27,chatgpt.com
mba,28,chatgpt.com?utm_source=web
mba,29,college_direct
mba,30,collegedunia
mba,31,Collegedunia
mba,32,database
mba,33,Database
mba,34,default_source
mba,35,direct
mba,36,Direct
mba,37,Direct Walk-in
mba,38,facebook
mba,39,Facebook
mba,40,flyer
mba,41,gdn
mba,42,GDN
mba,43,google
mba,44,Google
mba,45,Google Ads
mba,46,ig
mba,47,Inbound Call
mba,48,Incoming call
mba,49,Incoming Calls
mba,50,Inhouse Social
mba,51,Inhouse Social Media
mba,52,itm
mba,53,itmpartner100
mba,54,itmpartner117
mba,55,itmpartner121
mba,56,itmpartner143
mba,57,itmpartner51
mba,58,itmpartner66
mba,59,itmpartner74
mba,60,itmpartner77
mba,61,itmpartner78
mba,62,itmpartner85
mba,63,itmpartner86
mba,64,itmpartner96
mba,65,kollegeapply
mba,66,Kollegeapply
mba,67,lead nurturing
mba,68,Lead Nurturing
mba,69,letsupgrade
mba,70,Not Mapped
mba,71,Offline
mba,72,Online
mba,73,organic
mba,74,Organic
mba,75,other
mba,76,Others
mba,77,Outbound Call
mba,78,Partner 114
mba,79,Partner 131
mba,80,Partner 142
mba,81,Partner 150
mba,82,Partner 154
mba,83,Partner 164
mba,84,Partner 166
mba,85,Partner 167
mba,86,Partner 187
mba,87,Partner 189
mba,88,Partner 2
mba,89,Partner 23
mba,90,Partner 24
mba,91,Partner 28
mba,92,Partner 33
mba,93,Partner 34
mba,94,Partner 37
mba,95,Partner 4
mba,96,Partner 44
mba,97,Partner 49
mba,98,Partner 6
mba,99,Partner 7
mba,100,Partner 70
mba,101,Partner 75
mba,102,Partner 89
mba,103,partner10
mba,104,partner100
mba,105,partner114
mba,106,partner12
mba,107,partner121
mba,108,partner131
mba,109,partner137
mba,110,partner140
mba,111,partner142
mba,112,partner143
mba,113,partner150
mba,114,partner154
mba,115,partner157
mba,116,partner164
mba,117,partner166
mba,118,partner167
mba,119,partner174
mba,120,partner186
mba,121,partner187
mba,122,partner188
mba,123,partner189
mba,124,partner196
mba,125,partner2
mba,126,partner210
mba,127,partner222
mba,128,partner223
mba,129,partner225
mba,130,partner230
mba,131,partner24
mba,132,partner240
mba,133,partner241
mba,134,partner28
mba,135,partner30
mba,136,partner33
mba,137,partner34
mba,138,partner37
mba,139,partner4
mba,140,partner49
mba,141,partner51
mba,142,partner52
mba,143,partner54
mba,144,partner6
mba,145,partner66
mba,146,partner7
mba,147,partner70
mba,148,partner74
mba,149,partner77
mba,150,partner78
mba,151,partner82
mba,152,partner85
mba,153,partner86
mba,154,partner89
mba,155,partner96
mba,156,perplexity
mba,157,referral
mba,158,Referral
mba,159,remarketing
mba,160,Remarketing
mba,161,shiksha
mba,162,Shiksha
mba,163,social
mba,164,Social
mba,165,Telephony
mba,166,Telephony Inbound
mba,167,Telephony Outbound
mba,168,test
mba,169,Twigz
mba,170,Twigz Network
mba,171,twigznetwork
mba,172,Visiting Card
mba,173,visitingCard
mba,174,wa
mba,175,Walk In
mba,176,Walk-in
mba,177,Walkin
mba,178,web
mba,179,Web
mba,180,Webinar USA SA
mba,181,website
mba,182,Website
mba,183,websitepyq
mba,184,whatsapp
mba,185,WhatsApp
mba,186,whatsappleadnurturing_medium=imba_1
mba,187,Widget
bba,1,agents
bba,2,Agents
bba,3,api
bba,4,blank
bba,5,blog
bba,6,btl
bba,7,BTL
bba,8,careers360
bba,9,Careers360
bba,10,chat
