workspace_slug,workspace_name,source
bba,BBA,agents
bba,BBA,Agents
bba,BBA,api
bba,BBA,blank
bba,BBA,blog
bba,BBA,btl
bba,BBA,BTL
bba,BBA,careers360
bba,BBA,Careers360
bba,BBA,chat
bba,BBA,Chat
bba,BBA,Chatgpt
bba,BBA,chatgpt.com
bba,BBA,chatgpt.com?utm_source=web
bba,BBA,chatgpt.com#cuet-ug-previous-year-question-papers-year-wise-pdf-access-plan
bba,BBA,collegedunia
bba,BBA,Collegedunia
bba,BBA,default_source
bba,BBA,direct
bba,BBA,Direct
bba,BBA,email
bba,BBA,facebook
bba,BBA,Facebook
bba,BBA,fb
bba,BBA,google
bba,BBA,Google Ads
bba,BBA,ig
bba,BBA,inhouse social media
bba,BBA,justdial
bba,BBA,kollegeapply
bba,BBA,Kollegeapply
bba,BBA,Lets Upgrade
bba,BBA,letsupgrade
bba,BBA,Not Mapped
bba,BBA,npf
bba,BBA,offline
bba,BBA,Offline
bba,BBA,organic
bba,BBA,Organic
bba,BBA,other
bba,BBA,Other Campaigns
bba,BBA,Others
bba,BBA,Paid Ads
bba,BBA,perplexity
bba,BBA,Previous Year Paper
bba,BBA,Publisher Campaign
bba,BBA,referral
bba,BBA,Referral
bba,BBA,shiksha
bba,BBA,Shiksha
bba,BBA,Social
bba,BBA,Source Not Set
bba,BBA,wa
bba,BBA,Walk In
bba,BBA,walk-in
bba,BBA,web
bba,BBA,Webinar USA SA
bba,BBA,website
bba,BBA,Website
bba,BBA,websitepyq
btech,BTECH,agents
btech,BTECH,Agents
btech,BTECH,api
btech,BTECH,blank
btech,BTECH,blog
btech,BTECH,brochure
btech,BTECH,btl
btech,BTECH,BTL
btech,BTECH,careers360
btech,BTECH,Careers360
btech,BTECH,chat
btech,BTECH,Chat
btech,BTECH,Chatgpt
btech,BTECH,chatgpt.com
btech,BTECH,collegedunia
btech,BTECH,Collegedunia
btech,BTECH,database
btech,BTECH,Database
btech,BTECH,default_source
btech,BTECH,direct
btech,BTECH,Direct
btech,BTECH,DOT
btech,BTECH,email
btech,BTECH,facebook
btech,BTECH,Facebook
btech,BTECH,fb
btech,BTECH,flyer
btech,BTECH,google
btech,BTECH,Google Ads
btech,BTECH,inbound call
btech,BTECH,kollegeapply
btech,BTECH,Kollegeapply
btech,BTECH,lead nurturing
btech,BTECH,Lead Nurturing
btech,BTECH,Lets Upgrade
btech,BTECH,letsupgrade
btech,BTECH,NA
btech,BTECH,Not Mapped
btech,BTECH,npf
btech,BTECH,Offline
btech,BTECH,organic
btech,BTECH,Organic
btech,BTECH,other
btech,BTECH,Other Campaigns
btech,BTECH,Others
btech,BTECH,Paid Ads
btech,BTECH,Previous Year Paper
btech,BTECH,Publisher Campaign
btech,BTECH,referral
btech,BTECH,Referral
btech,BTECH,shiksha
btech,BTECH,Shiksha
btech,BTECH,social
btech,BTECH,Social
btech,BTECH,Source Not Set
btech,BTECH,Telephony
btech,BTECH,Telephony Inbound
btech,BTECH,visitingcard
btech,BTECH,wa
btech,BTECH,wakin
btech,BTECH,Walk In
btech,BTECH,walk-in
btech,BTECH,web
btech,BTECH,Webinar USA SA
btech,BTECH,website
btech,BTECH,Website
btech,BTECH,websitepyq
btech,BTECH,youtube
btech,BTECH,Youtube
idm,IDM,02265867145
idm,IDM,147
idm,IDM,181
idm,IDM,182
idm,IDM,186
idm,IDM,186_RV
idm,IDM,192
idm,IDM,195
idm,IDM,195_RV
idm,IDM,196
idm,IDM,196_RV
idm,IDM,198
idm,IDM,198_RV
idm,IDM,199
idm,IDM,199_RV
idm,IDM,208
idm,IDM,208_RV
idm,IDM,211
idm,IDM,211_RV
idm,IDM,214
idm,IDM,214_RV
idm,IDM,220
idm,IDM,220_RV
idm,IDM,223
idm,IDM,223_RV
idm,IDM,225
idm,IDM,227
idm,IDM,227_RV
