course_label,source,count
0,Facebook,723
0,Inbound Call,274
0,Organic,4
0,Outbound Call,2
0,Web,7
0,agents,3
0,careers360,1
0,chat,104
0,college_direct,1
0,collegedunia,5348
0,database,55
0,default_source,2
0,direct,9
0,facebook,21
0,google,1
0,kollegeapply,1653
0,lead nurturing,5
0,organic,9
0,other,1
0,referral,5
0,shiksha,4218
0,web,17
0,whatsapp,20
55180,database,2
BBA iConnect,direct,1
BBA iConnect,google,1
Bachelor of Business Administration,Inhouse Social Media,4
Campus Not Available,Agents,127
Campus Not Available,Database,1
Campus Not Available,Facebook,8
Campus Not Available,Incoming Calls,1
Campus Not Available,Organic,41
Campus Not Available,bing,24
Campus Not Available,blog,1
Campus Not Available,chatgpt.com,17
Campus Not Available,flyer,1
Campus Not Available,google,1865
Campus Not Available,lead nurturing,3
Campus Not Available,shiksha,1
Campus Not Available,social,4
Campus Not Available,test,1
Campus Not Available,wa,5
Campus Not Available,website,295
Campus Not Available,websitepyq,120
Digital Marketing and Media Management,Widget,1
Finance,Widget,1
Finance and Banking,API,9328
Finance and Banking,Chat,4
Finance and Banking,Offline,422
Finance and Banking,Online,32
Finance and Banking,Telephony,1
Finance and Banking,Widget,61
Financial Services,Widget,1
MBA,API,84811
MBA,Agents,6
MBA,Database,46
MBA,Facebook,13
MBA,Organic,5
MBA,Twigz,1
MBA,Web,2
MBA,bing,1
MBA,btl,148
MBA,careers360,1590
MBA,chatgpt.com,1
MBA,collegedunia,5438
MBA,database,15
MBA,default_source,1
MBA,direct,1
MBA,google,375
MBA,organic,3
MBA,partner164,4
MBA,perplexity,1
MBA,referral,8
MBA,shiksha,2379
MBA,twigznetwork,40
MBA,visitingCard,7
MBA,web,3
MBA,website,273
MBA,whatsappleadnurturing_medium=imba_1,1
MBA iConnect,Agents,231
MBA iConnect,BTL,4
MBA iConnect,Bing,36
MBA iConnect,Blog,87
MBA iConnect,Calendly,1
MBA iConnect,Database,2
MBA iConnect,Facebook,519
MBA iConnect,Google,10
MBA iConnect,Inbound Call,1
MBA iConnect,Incoming Calls,19
MBA iConnect,Incoming call,2
MBA iConnect,Organic,12
MBA iConnect,Referral,24
MBA iConnect,Twigz,1
MBA iConnect,Walk In,23
MBA iConnect,Walkin,3
MBA iConnect,Web,9
MBA iConnect,Website,15
MBA iConnect,bing,29
MBA iConnect,btl,36
MBA iConnect,careers360,1097
MBA iConnect,chat,4
MBA iConnect,chatgpt.com,2
MBA iConnect,chatgpt.com?utm_source=web,4
MBA iConnect,collegedunia,4486
MBA iConnect,database,48202
MBA iConnect,default_source,4
MBA iConnect,direct,6
MBA iConnect,gdn,42
MBA iConnect,google,2139
MBA iConnect,kollegeapply,1766
MBA iConnect,letsupgrade,1
MBA iConnect,organic,5
MBA iConnect,partner10,1
MBA iConnect,partner100,1
MBA iConnect,partner12,2
MBA iConnect,partner121,1
MBA iConnect,partner137,2
MBA iConnect,partner140,1
MBA iConnect,partner150,2
MBA iConnect,partner186,2
MBA iConnect,partner196,1
MBA iConnect,partner2,2
MBA iConnect,partner223,1
MBA iConnect,partner225,1
MBA iConnect,partner230,1
MBA iConnect,partner240,1
MBA iConnect,partner241,1
MBA iConnect,partner30,1
MBA iConnect,partner33,1
MBA iConnect,partner34,1
MBA iConnect,partner37,1
MBA iConnect,partner4,9
MBA iConnect,partner51,1
MBA iConnect,partner54,1
MBA iConnect,partner66,2
MBA iConnect,partner74,1
MBA iConnect,partner78,1
MBA iConnect,partner82,2
MBA iConnect,partner96,2
MBA iConnect,referral,78
MBA iConnect,remarketing,45
MBA iConnect,shiksha,5740
MBA iConnect,social,2
MBA iConnect,visitingCard,1
MBA iConnect,wa,3
MBA iConnect,web,16
MBA iConnect,website,288
MBA iConnect,websitepyq,251
MBA in Applied AI,Organic,1
MBA in Applied AI,database,1
MBA in Applied AI,direct,4
MBA in Applied AI,google,18
MBA in Applied AI,letsupgrade,24
MBA in Applied AI,referral,2
MBA in Applied AI,website,5
Marketing,Inbound Call,1
Nerul (Navi Mumbai),Agents,191
Nerul (Navi Mumbai),BTL Activity IHM Nerul,4
Nerul (Navi Mumbai),BTL ROM,3
Nerul (Navi Mumbai),Blog,52
Nerul (Navi Mumbai),Database,8
Nerul (Navi Mumbai),Direct Walk-in,1
Nerul (Navi Mumbai),Facebook,349
Nerul (Navi Mumbai),Inbound Call,15
Nerul (Navi Mumbai),Incoming Calls,11
Nerul (Navi Mumbai),Organic,8
Nerul (Navi Mumbai),Outbound Call,1
Nerul (Navi Mumbai),Referral,69
Nerul (Navi Mumbai),Walk-in,13
Nerul (Navi Mumbai),Website,17
Nerul (Navi Mumbai),agents,75
Nerul (Navi Mumbai),bing,1
Nerul (Navi Mumbai),btl,4
Nerul (Navi Mumbai),btl activity ihm nerul,2296
Nerul (Navi Mumbai),btl rom,4203
