workspace_slug,workspace_name,template_name,event_count
bba,BBA,12thresult_1,1762
bba,BBA,common_leadnurturing1,14051
bba,BBA,common_leadnurturing10,7102
bba,BBA,common_leadnurturing11,10838
bba,BBA,common_leadnurturing12,8039
bba,BBA,common_leadnurturing13,3734
bba,BBA,common_leadnurturing14,6515
bba,BBA,common_leadnurturing2,16366
bba,BBA,common_leadnurturing3,15690
bba,BBA,common_leadnurturing4,15690
bba,BBA,common_leadnurturing5,10672
bba,BBA,common_leadnurturing6,13517
bba,BBA,common_leadnurturing7,13509
bba,BBA,common_leadnurturing8,13005
bba,BBA,common_leadnurturing9,12786
bba,BBA,template_01,95
bba,BBA,template_02,132
btech,BTECH,12thresult_1,1705
btech,BTECH,common_leadnurturing1,19462
btech,BTECH,common_leadnurturing10,2213
btech,BTECH,common_leadnurturing11,12876
btech,BTECH,common_leadnurturing2,31107
btech,BTECH,common_leadnurturing4,18898
btech,BTECH,common_leadnurturing5,20446
btech,BTECH,common_leadnurturing6,28424
btech,BTECH,common_leadnurturing7,11228
btech,BTECH,common_leadnurturing8,23945
btech,BTECH,common_leadnurturing9,13050
idm,IDM,12thclass_1,3769
idm,IDM,avfx_ie1,131
idm,IDM,avfx_ie2,125
idm,IDM,avfx_ie3,178
idm,IDM,avfx_ie4,114
idm,IDM,avfx_ie5,103
idm,IDM,avfx_ie6,98
idm,IDM,brds_artconfab_broadcast,6
idm,IDM,common_leadnurturing1,9441
idm,IDM,common_leadnurturing2,30
idm,IDM,common_leadnurturing3,24
idm,IDM,common_leadnurturing4,15
idm,IDM,common_leadnurturing5,6
idm,IDM,common_leadnurturing6,4
idm,IDM,idm_app_notinterested,105
idm,IDM,idm_appincomp_1,85
idm,IDM,idm_appincomp_2,75
idm,IDM,idm_appincomp_3,69
idm,IDM,idm_appincomp_4,65
idm,IDM,idm_appincomp_5,9
idm,IDM,idm_appini_1,546
idm,IDM,idm_appini_2,530
idm,IDM,idm_appini_3,505
idm,IDM,idm_appini_4,494
idm,IDM,idm_appini_5,28
idm,IDM,idm_srfreminder_1,1087
idm,IDM,idm_srfreminder_2,1110
idm,IDM,ie_message1,784
idm,IDM,ie_message10,1859
idm,IDM,ie_message11,3291
idm,IDM,ie_message2,1249
idm,IDM,ie_message3,414
idm,IDM,ie_message4,853
idm,IDM,ie_message5,1198
idm,IDM,ie_message6,875
idm,IDM,ie_message7,2352
idm,IDM,ie_message9,1962
idm,IDM,meta_fd_ie1,8
idm,IDM,meta_fd_nc1,158
idm,IDM,meta_fd_nc2,112
idm,IDM,meta_fd_nc3,70
idm,IDM,meta_fd_nc4,10
idm,IDM,meta_fdni1,110
idm,IDM,meta_fdun1,623
idm,IDM,meta_fdun2,465
idm,IDM,meta_fdun3,408
idm,IDM,meta_fdun4,355
idm,IDM,meta_fdun5,282
idm,IDM,meta_id_fuc1,74
idm,IDM,meta_id_fuc2,73
idm,IDM,meta_id_fuc3,71
idm,IDM,meta_id_nc1,192
idm,IDM,meta_id_nc2,97
idm,IDM,meta_id_nc3,127
idm,IDM,meta_id_nc4,87
idm,IDM,meta_id_ne1,11
