workspace_slug,workspace_name,source,Primary
bba,BBA,agents,Agents
bba,BBA,Agents,Agents
bba,BBA,api,Meta
bba,BBA,blank,Invalid
bba,BBA,blog,Organic
bba,BBA,btl,BTL
bba,BBA,BTL,BTL
bba,BBA,careers360,Publisher
bba,BBA,Careers360,Publisher
bba,BBA,chat,Meta
bba,BBA,Chat,Meta
bba,BBA,Chatgpt,Meta
bba,BBA,chatgpt.com,Meta
bba,BBA,chatgpt.com?utm_source=web,Meta
bba,BBA,chatgpt.com#cuet-ug-previous-year-question-papers-year-wise-pdf-access-plan,Meta
bba,BBA,collegedunia,Publisher
bba,BBA,Collegedunia,Publisher
bba,BBA,default_source,Invalid
bba,BBA,direct,Organic
bba,BBA,Direct,Organic
bba,BBA,email,Organic
bba,BBA,facebook,Meta
bba,BBA,Facebook,Meta
bba,BBA,fb,Meta
bba,BBA,google,Meta
bba,BBA,Google Ads,Meta
bba,BBA,ig,Meta
bba,BBA,inhouse social media,Organic
bba,BBA,justdial,Invalid
bba,BBA,kollegeapply,Publisher
bba,BBA,Kollegeapply,Publisher
bba,BBA,Lets Upgrade,Data Base
bba,BBA,letsupgrade,Data Base
bba,BBA,Not Mapped,Data Base
bba,BBA,npf,Data Base
bba,BBA,offline,Data Base
bba,BBA,Offline,Data Base
bba,BBA,organic,Organic
bba,BBA,Organic,Organic
bba,BBA,other,Invalid
bba,BBA,Other Campaigns,Invalid
bba,BBA,Others,Invalid
bba,BBA,Paid Ads,Meta
bba,BBA,perplexity,Meta
bba,BBA,Previous Year Paper,Data Base
bba,BBA,Publisher Campaign,Publisher
bba,BBA,referral,Referral
bba,BBA,Referral,Referral
bba,BBA,shiksha,Publisher
bba,BBA,Shiksha,Publisher
bba,BBA,Social,Meta
bba,BBA,Source Not Set,Data Base
bba,BBA,wa,Walk - in
bba,BBA,Walk In,Walk - in
bba,BBA,walk-in,Walk - in
bba,BBA,web,Organic
bba,BBA,Webinar USA SA,Organic
bba,BBA,website,Organic
bba,BBA,Website,Organic
bba,BBA,websitepyq,Organic
btech,BTECH,agents,Agents
btech,BTECH,Agents,Agents
btech,BTECH,api,Meta
btech,BTECH,blank,Invalid
btech,BTECH,blog,Organic
btech,BTECH,brochure,BTL
btech,BTECH,btl,BTL
btech,BTECH,BTL,BTL
btech,BTECH,careers360,Publisher
btech,BTECH,Careers360,Publisher
btech,BTECH,chat,Meta
btech,BTECH,Chat,Meta
btech,BTECH,Chatgpt,Meta
btech,BTECH,chatgpt.com,Meta
btech,BTECH,collegedunia,Publisher
btech,BTECH,Collegedunia,Publisher
btech,BTECH,database,Data Base
btech,BTECH,Database,Data Base
btech,BTECH,default_source,Invalid
btech,BTECH,direct,Organic
btech,BTECH,Direct,Organic
btech,BTECH,DOT,Invalid
btech,BTECH,email,Organic
btech,BTECH,facebook,Meta
btech,BTECH,Facebook,Meta
btech,BTECH,fb,Meta
btech,BTECH,flyer,BTL
